checkmk,timestamp,cpu_usage(in %),memory_usage,disk_usage(in KB)
monitoring,2025-05-09T16:28:28,689.45%,2584.58,2322856
monitoring,2025-05-09T16:28:44,0.55%,1079.3,2322856
monitoring,2025-05-09T16:29:01,274.58%,1377.28,2322856
monitoring,2025-05-09T16:29:17,0.44%,1079.3,2322856
monitoring,2025-05-09T16:29:34,309.84%,1116.16,2322856
monitoring,2025-05-09T16:29:50,2.42%,1079.3,2322856
monitoring,2025-05-09T16:30:07,479.52%,3467.26,2322856
monitoring,2025-05-09T16:30:23,0.51%,1079.3,2322856
monitoring,2025-05-09T16:30:40,367.30%,1163.26,2322856
monitoring,2025-05-09T16:30:57,1.72%,1079.3,2322856
monitoring,2025-05-09T16:31:13,0.47%,1079.3,2322856
monitoring,2025-05-09T16:31:30,694.81%,1444.86,2322856
monitoring,2025-05-09T16:31:46,0.56%,1079.3,2322856
monitoring,2025-05-09T16:32:03,796.51%,2538.5,2322856
monitoring,2025-05-09T16:32:19,82.97%,1079.3,2322856
monitoring,2025-05-09T16:32:36,6.33%,1079.3,2322856
monitoring,2025-05-09T16:32:52,2.59%,1079.3,2322856
monitoring,2025-05-09T16:33:09,446.49%,1280,2322856
monitoring,2025-05-09T16:33:26,776.90%,2140.16,2322856
monitoring,2025-05-09T16:33:42,35.45%,1079.3,2322856
monitoring,2025-05-09T16:33:59,3.42%,1079.3,2322856
monitoring,2025-05-09T16:34:15,0.51%,1079.3,2322856
monitoring,2025-05-09T16:34:32,279.71%,1132.54,2322856
monitoring,2025-05-09T16:34:48,0.53%,1079.3,2322856
monitoring,2025-05-09T16:35:05,797.38%,3061.76,2322856
monitoring,2025-05-09T16:35:21,0.52%,1079.3,2322856
monitoring,2025-05-09T16:35:38,228.29%,1189.89,2322856
monitoring,2025-05-09T16:35:55,9.16%,1079.3,2322856
monitoring,2025-05-09T16:36:11,357.34%,1287.17,2322856
monitoring,2025-05-09T16:36:28,637.72%,2882.56,2322856
monitoring,2025-05-09T16:36:44,0.45%,1079.3,2322856
monitoring,2025-05-09T16:37:01,387.06%,1451.01,2322856
monitoring,2025-05-09T16:37:17,0.51%,1079.3,2322856
monitoring,2025-05-09T16:37:34,251.29%,1139.71,2322856
monitoring,2025-05-09T16:37:50,0.51%,1079.3,2322856
monitoring,2025-05-09T16:38:07,553.73%,3424.26,2322856
monitoring,2025-05-09T16:38:24,0.46%,1079.3,2322856
monitoring,2025-05-09T16:38:40,308.10%,1195.01,2322856
monitoring,2025-05-09T16:38:57,19.56%,1080.32,2322856
monitoring,2025-05-09T16:39:13,3.36%,1079.3,2322856
monitoring,2025-05-09T16:39:30,702.20%,1458.18,2322856
monitoring,2025-05-09T16:39:46,0.49%,1079.3,2322856
monitoring,2025-05-09T16:40:03,796.55%,2458.62,2322856
monitoring,2025-05-09T16:40:19,81.20%,1079.3,2322856
monitoring,2025-05-09T16:40:36,2.63%,1079.3,2322856
monitoring,2025-05-09T16:40:53,7.38%,1079.3,2322856
monitoring,2025-05-09T16:41:09,386.10%,1313.79,2322856
monitoring,2025-05-09T16:41:26,769.99%,2181.12,2322856
monitoring,2025-05-09T16:41:42,10.28%,1079.3,2322856
monitoring,2025-05-09T16:41:59,0.53%,1079.3,2322856
monitoring,2025-05-09T16:42:15,1.87%,1079.3,2322856
monitoring,2025-05-09T16:42:32,266.34%,1135.62,2322856
monitoring,2025-05-09T16:42:48,0.60%,1079.3,2322856
monitoring,2025-05-09T16:43:05,791.33%,3146.75,2322856
monitoring,2025-05-09T16:43:22,0.48%,1079.3,2322856
monitoring,2025-05-09T16:43:38,192.35%,1173.5,2322856
monitoring,2025-05-09T16:43:55,4.70%,1080.32,2322856
monitoring,2025-05-09T16:44:11,359.40%,1305.6,2322856
monitoring,2025-05-09T16:44:28,619.41%,2797.57,2322856
monitoring,2025-05-09T16:44:44,2.37%,1079.3,2322856
monitoring,2025-05-09T16:45:01,465.11%,1525.76,2322856
monitoring,2025-05-09T16:45:17,2.09%,1079.3,2322856
monitoring,2025-05-09T16:45:34,226.43%,1147.9,2322856
monitoring,2025-05-09T16:45:51,2.26%,1079.3,2322856
monitoring,2025-05-09T16:46:07,562.50%,3185.66,2322856
monitoring,2025-05-09T16:46:24,81.92%,1243.14,2322856
monitoring,2025-05-09T16:46:40,297.11%,1201.15,2322856
monitoring,2025-05-09T16:46:57,0.50%,1079.3,2322856
monitoring,2025-05-09T16:47:13,1.88%,1080.32,2322856
monitoring,2025-05-09T16:47:30,669.10%,1446.91,2322856
monitoring,2025-05-09T16:47:46,2.01%,1080.32,2322856
monitoring,2025-05-09T16:48:03,795.53%,2464.77,2322856
monitoring,2025-05-09T16:48:20,40.26%,1079.3,2322856
monitoring,2025-05-09T16:48:36,0.43%,1080.32,2322856
monitoring,2025-05-09T16:48:53,2.47%,1080.32,2322856
monitoring,2025-05-09T16:49:09,467.95%,1342.46,2322856
monitoring,2025-05-09T16:49:26,777.22%,2212.86,2322856
monitoring,2025-05-09T16:49:42,24.05%,1080.32,2322856
monitoring,2025-05-09T16:49:59,0.48%,1079.3,2322856
monitoring,2025-05-09T16:50:15,2.13%,1079.3,2322856
monitoring,2025-05-09T16:50:32,270.28%,1138.69,2322856
monitoring,2025-05-09T16:50:49,2.61%,1080.32,2322856
monitoring,2025-05-09T16:51:05,778.12%,3260.42,2322856
monitoring,2025-05-09T16:51:22,4.94%,1080.32,2322856
monitoring,2025-05-09T16:51:38,223.01%,1245.18,2322856
